MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
DISPATCH,DISPATCHCONSTRAINT,DISPATCH,CONSTRAINT,5,INSERT,
DISPATCH,DISPATCHINTERCONNECTORRES,DISPATCH,INTERCONNECTORRES,3,INSERT,
DISPATCH,DISPATCHLOAD,DISPATCH,UNIT_SOLUTION,2,INSERT,
DISPATCH,DISPATCHLOAD,DISPATCH,UNIT_SOLUTION,2,INSERT,
DISPATCH,DISPATCHOFFERTRK,DISPATCH,OFFERTRK,1,INSERT,
DISPATCH,DISPATCHOFFERTRK,DISPATCH,OFFERTRK,1,INSERT,
DISPATCH,DISPATCHPRICE,DISPATCH,PRICE,4,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCHPRICE,DISPATCH,PRICE,4,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCHREGIONSUM,DISPATCH,REGIONSUM,5,INSERT,
DISPATCH,DISPATCH_CONSTRAINT_FCAS_OCD,PRICELOAD,CONSTRAINT_FCAS_OCD,1,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCH_FCAS_REQ,DISPATCH,FCAS_REQ,2,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCH_INTERCONNECTION,DISPATCH,INTERCONNECTION,1,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCH_INTERCONNECTION,DISPATCH,INTERCONNECTION,1,INSERT-UPDATE,LASTCHANGED
DISPATCH,DISPATCH_LOCAL_PRICE,DISPATCH,LOCAL_PRICE,1,INSERT,
DISPATCH,DISPATCH_LOCAL_PRICE,DISPATCH,LOCAL_PRICE,1,INSERT,
DISPATCH,DISPATCH_MNSPBIDTRK,DISPATCH,MNSPBIDTRK,1,INSERT,
DISPATCH,DISPATCH_MNSPBIDTRK,DISPATCH,MNSPBIDTRK,1,INSERT,
DISPATCH,DISPATCH_MR_SCHEDULE_TRK,DISPATCH,MR_SCHEDULE_TRK,1,INSERT,
DISPATCH,DISPATCH_PRICE_REVISION,PRICELOAD,PRICE_REVISION,1,INSERT,
DISPATCH,DISPATCH_UNIT_CONFORMANCE,DISPATCH,UNIT_CONFORMANCE,1,INSERT,
DISPATCH,DISPATCH_UNIT_SCADA,DISPATCH,UNIT_SCADA,1,INSERT,
DISPATCH,INTERMITTENT_DS_PRED,DEMAND,INTERMITTENT_DS_PRED,1,INSERT,
DISPATCH,INTERMITTENT_DS_RUN,DEMAND,INTERMITTENT_DS_RUN,1,INSERT-UPDATE,NONE
DISPATCH,INTERMITTENT_FORECAST_TRK,DISPATCH,INTERMITTENT_FORECAST_TRK,1,INSERT,
DISPATCH,NEGATIVE_RESIDUE,DISPATCH,NEGATIVE_RESIDUE,1,INSERT,
FORCE_MAJEURE,APEVENT,AP,APEVENT,1,INSERT,
FORCE_MAJEURE,APEVENTREGION,AP,APEVENTREGION,1,INSERT,
FORCE_MAJEURE,IRFMAMOUNT,FORCE_MAJEURE,IRFMAMOUNT,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,IRFMEVENTS,FORCE_MAJEURE,IRFMEVENTS,1,INSERT,
FORCE_MAJEURE,MARKET_SUSPEND_REGIME_SUM,FORCE_MAJEURE,MARKET_SUSPEND_REGIME_SUM,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_REGION_SUM,FORCE_MAJEURE,MARKET_SUSPEND_REGION_SUM,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE_TRK,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE_TRK,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,OVERRIDERRP,FORCE_MAJEURE,OVERRIDERRP,1,INSERT-UPDATE,LASTCHANGED
FORCE_MAJEURE,REGIONAPC,AP,REGIONAPC,1,INSERT,
FORCE_MAJEURE,REGIONAPCINTERVALS,AP,REGIONAPCINTERVALS,1,INSERT,
GD_INSTRUCT,GDINSTRUCT,GD_INSTRUCT,GDINSTRUCT,1,INSERT-UPDATE,LASTCHANGED
GD_INSTRUCT,GDINSTRUCT,GD_INSTRUCT,GDINSTRUCT,1,INSERT-UPDATE,LASTCHANGED
GD_INSTRUCT,INSTRUCTIONSUBTYPE,GD_INSTRUCT,INSTRUCTIONSUBTYPE,1,INSERT-UPDATE,LASTCHANGED
GD_INSTRUCT,INSTRUCTIONTYPE,GD_INSTRUCT,INSTRUCTIONTYPE,1,INSERT-UPDATE,LASTCHANGED
