REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
GASBB,GAS_BASIN,1,GAS_BASIN,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_CAPACITY_TYPE,1,GAS_CAPACITY_TYPE,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_CONNECTIONPOINT_CAPACITY,1,GAS_CONNECTIONPOINT_CAPACITY,INSERT,
GASBB,GAS_CONTACT,1,GAS_CONTACT,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_CONTACT_DETAIL,1,GAS_CONTACT_DETAIL,INSERT,
GASBB,GAS_DAILY_FLOW_ACTUAL,1,GAS_DAILY_FLOW_ACTUAL,INSERT,
GASBB,GAS_DAILY_STORAGE_ACTUAL,1,GAS_DAILY_STORAGE_ACTUAL,INSERT,
GASBB,GAS_DAILY_STORAGE_ACTUAL,2,GAS_DAILY_STORAGE_ACTUAL,INSERT,
GASBB,GAS_DEVFACILITY,1,GAS_DEVFACILITY,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_DEVFACILITY_DETAIL,1,GAS_DEVFACILITY_DETAIL,INSERT,
GASBB,GAS_DEVFACILITY_FACILITY,1,GAS_DEVFACILITY_FACILITY,INSERT,
GASBB,GAS_FACILITY,2,GAS_FACILITY,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_FACILITY,1,GAS_FACILITY,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_FACILITY_DETAIL,1,GAS_FACILITY_DETAIL,INSERT,
GASBB,GAS_FACILITY_DETAIL_CAPACITY,1,GAS_FACILITY_DETAIL_CAPACITY,INSERT,
GASBB,GAS_FACILITY_NODE,1,GAS_FACILITY_NODE,INSERT,
GASBB,GAS_FACILITY_NODE_CONNECTION,2,GAS_FACILITY_NODE_CONNECTION,INSERT,
GASBB,GAS_FACILITY_NODE_CONNECTION,1,GAS_FACILITY_NODE_CONNECTION,INSERT,
GASBB,GAS_FACILITY_NODE_TRK,1,GAS_FACILITY_NODE_TRK,INSERT,
GASBB,GAS_FACILITY_OPSTATE,1,GAS_FACILITY_OPSTATE,INSERT,
GASBB,GAS_FACILITY_OWNER,1,GAS_FACILITY_OWNER,INSERT,
GASBB,GAS_FACILITY_OWNER_TRK,1,GAS_FACILITY_OWNER_TRK,INSERT,
GASBB,GAS_FACILITY_SUMMARY,1,GAS_FACILITY_SUMMARY,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_FACILITY_TYPE,1,GAS_FACILITY_TYPE,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_FIELD,1,GAS_FIELD,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_FIELDINTEREST,1,GAS_FIELDINTEREST,INSERT,
GASBB,GAS_FIELDINTEREST_DETAIL,1,GAS_FIELDINTEREST_DETAIL,INSERT,
GASBB,GAS_FIELDINTEREST_PARTICIPANT,1,GAS_FIELDINTEREST_PARTICIPANT,INSERT,
GASBB,GAS_FIELDINTEREST_SHARE,1,GAS_FIELDINTEREST_SHARE,INSERT,
GASBB,GAS_FIELDINTEREST_SHARETRK,1,GAS_FIELDINTEREST_SHARETRK,INSERT,
GASBB,GAS_FIELD_DETAIL,1,GAS_FIELD_DETAIL,INSERT,
GASBB,GAS_GSH_TRADES,1,GAS_GSH_TRADES,INSERT-UPDATE,LASTCHANGED
GASBB,GAS_LINEPACK_ADEQUACY,1,GAS_LINEPACK_ADEQUACY,INSERT,
GASBB,GAS_LNG_SHIPMENT,1,GAS_LNG_SHIPMENT,INSERT,
GASBB,GAS_LNG_TRANSACTION,1,GAS_LNG_TRANSACTION,INSERT,
GASBB,GAS_LOCATION,1,GAS_LOCATION,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_LOCATION_NODE,1,GAS_LOCATION_NODE,INSERT,
GASBB,GAS_LOCATION_NODE_TRK,1,GAS_LOCATION_NODE_TRK,INSERT,
GASBB,GAS_LOCATION_OPSTATE,1,GAS_LOCATION_OPSTATE,INSERT,
GASBB,GAS_MARKET,1,GAS_MARKET,UPDATE-INSERT,LASTCHANGED
