
REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE,IS_ACTIVE,IS_NEW
GENERIC_CONSTRAINT,GENCONSETINVOKE,2,GENCONSETINVOKE,INSERT-UPDATE,LASTCHANGED,1,0
GEQDESC,NULL,1,GENERICEQUATIONDESC,INSERT-UPDATE,LASTCHANGED,1,0
GEQDESC,NULL,2,GENERICEQUATIONDESC,INSERT-UPDATE,LASTCHANGED,1,0
GEQRHS,NULL,1,GENERICEQUATIONRHS,INSERT,,1,0
GSH,AUCTION_BID,1,GSH_AUCTION_BID,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_BID_PRODUCT,1,GSH_AUCTION_BID_PRODUCT,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_BID_PROFILE,1,GSH_AUCTION_BID_PROFILE,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_BID_STEPS,1,GSH_AUCTION_BID_STEPS,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_BID_TRK,1,GSH_AUCTION_BID_TRK,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_CURTAILMENT_NOTICE,1,GSH_AUCTION_CURTAIL_NOTICE,INSERT-UPDATE,LASTCHANGED,1,0
GSH,AUCTION_PRICE_VOLUME,1,GSH_AUCTION_PRICE_VOLUME,INSERT-UPDATE,LASTCHANGED,1,0
